Nutrient,Unit,Category,Gender,Nutrient_standard,age_group,recommended_amount,age_start,age_end,nutrient_code,nutrient_name,unit,category,nutrient_id
Potassium,(mg),Minerals,Females,potassium_mg,9-13,2432.5,9,13,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Females,sodium_mg,9-13,2262.8,9,13,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Females,zinc_mg,9-13,8.7,9,13,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Persons,energy_with_fibre_kj,9-13,8603.5,9,13,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Persons,protein_g,9-13,80.1,9,13,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Persons,fat_total_g,9-13,75.4,9,13,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Persons,available_carbohydrate_without_sugar_alcohols_g,9-13,256.1,9,13,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Persons,total_sugars_g,9-13,120.4,9,13,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Persons,total_dietary_fibre_g,9-13,21.0,9,13,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Persons,thiamin_b1_mg,9-13,1.7,9,13,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Persons,riboflavin_b2_mg,9-13,1.9,9,13,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Persons,niacin_b3_mg,9-13,20.0,9,13,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Persons,folate_ug,9-13,497.1,9,13,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Persons,pyridoxine_b6_mg,9-13,1.2,9,13,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Persons,vitamin_c_mg,9-13,97.3,9,13,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Persons,vitamin_e_mg,9-13,9.1,9,13,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Persons,calcium_mg,9-13,853.4,9,13,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Persons,iron_mg,9-13,10.4,9,13,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Persons,magnesium_mg,9-13,267.6,9,13,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Persons,potassium_mg,9-13,2562.6,9,13,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Persons,sodium_mg,9-13,2461.7,9,13,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Persons,zinc_mg,9-13,9.6,9,13,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Males,energy_with_fibre_kj,14-18,10186.0,14,18,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Males,protein_g,14-18,101.2,14,18,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Males,fat_total_g,14-18,88.1,14,18,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Males,available_carbohydrate_without_sugar_alcohols_g,14-18,297.1,14,18,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Males,total_sugars_g,14-18,134.1,14,18,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Males,total_dietary_fibre_g,14-18,22.4,14,18,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
Thiamin (B1),(mg),Vitamins,Males,thiamin_b1_mg,14-18,1.9,14,18,thiamin_b1_mg,Thiamin (B1),(mg),Vitamins,7
Riboflavin (B2),(mg),Vitamins,Males,riboflavin_b2_mg,14-18,2.1,14,18,riboflavin_b2_mg,Riboflavin (B2),(mg),Vitamins,8
Niacin (B3),(mg),Vitamins,Males,niacin_b3_mg,14-18,24.6,14,18,niacin_b3_mg,Niacin (B3),(mg),Vitamins,9
Total Folates,(µg),Vitamins,Males,folate_ug,14-18,567.2,14,18,folate_ug,Total Folates,(µg),Vitamins,10
Vitamin B6,(mg),Vitamins,Males,pyridoxine_b6_mg,14-18,1.4,14,18,pyridoxine_b6_mg,Vitamin B6,(mg),Vitamins,11
Vitamin C,(mg),Vitamins,Males,vitamin_c_mg,14-18,103.9,14,18,vitamin_c_mg,Vitamin C,(mg),Vitamins,12
Vitamin E,(mg),Vitamins,Males,vitamin_e_mg,14-18,10.4,14,18,vitamin_e_mg,Vitamin E,(mg),Vitamins,13
Calcium,(mg),Minerals,Males,calcium_mg,14-18,924.6,14,18,calcium_mg,Calcium,(mg),Minerals,14
Iron,(mg),Minerals,Males,iron_mg,14-18,12.5,14,18,iron_mg,Iron,(mg),Minerals,15
Magnesium,(mg),Minerals,Males,magnesium_mg,14-18,314.5,14,18,magnesium_mg,Magnesium,(mg),Minerals,16
Potassium,(mg),Minerals,Males,potassium_mg,14-18,2830.0,14,18,potassium_mg,Potassium,(mg),Minerals,17
Sodium(e),(mg),Minerals,Males,sodium_mg,14-18,3116.8,14,18,sodium_mg,Sodium(e),(mg),Minerals,18
Zinc,(mg),Minerals,Males,zinc_mg,14-18,12.8,14,18,zinc_mg,Zinc,(mg),Minerals,19
Energy(a),(kJ),Energy(a),Females,energy_with_fibre_kj,14-18,8114.3,14,18,energy_with_fibre_kj,Energy(a),(kJ),Energy(a),1
Protein,(g),Macronutrients,Females,protein_g,14-18,76.5,14,18,protein_g,Protein,(g),Macronutrients,2
Total Fat(c),(g),Macronutrients,Females,fat_total_g,14-18,73.1,14,18,fat_total_g,Total Fat(c),(g),Macronutrients,3
Carbohydrate(c),(g),Macronutrients,Females,available_carbohydrate_without_sugar_alcohols_g,14-18,235.3,14,18,available_carbohydrate_without_sugar_alcohols_g,Carbohydrate(c),(g),Macronutrients,4
Total sugars,(g),Macronutrients,Females,total_sugars_g,14-18,109.2,14,18,total_sugars_g,Total sugars,(g),Macronutrients,5
Dietary Fibre,(g),Macronutrients,Females,total_dietary_fibre_g,14-18,19.3,14,18,total_dietary_fibre_g,Dietary Fibre,(g),Macronutrients,6
