diet_sex,diet_category_group,diet_category,diet_age_group,diet_estimate_000
Females,Usual daily consumption of vegetables,6 or more serves,25–34,51.3
Females,Usual daily consumption of vegetables,Total females aged 18 years and over,25–34,1850.2
Females,Usual daily consumption of vegetables,Average number of serves of fruit,25–34,1.5
Females,Usual daily consumption of vegetables,Average number of serves of vegetables,25–34,2.4
Females,Usual daily consumption of vegetables,"Total females, 18 years and over",25–34,1850.2
Persons,Daily consumption of fruit,Met recommendation,35–44,1458.6
Persons,Daily consumption of fruit,Did not meet recommendation,35–44,2098.6
Persons,Daily consumption of fruit,Total persons aged 18 years and over,35–44,3557.3
Persons,Daily consumption of vegetables,Met recommendation,35–44,185.2
Persons,Daily consumption of vegetables,Did not meet recommendation,35–44,3372.4
Persons,Daily consumption of vegetables,Total persons aged 18 years and over,35–44,3557.3
Persons,Daily consumption of fruit and vegetables,Met recommendation,35–44,115.2
Persons,Daily consumption of fruit and vegetables,Did not meet recommendation,35–44,3438.7
Persons,Daily consumption of fruit and vegetables,Total persons aged 18 years and over,35–44,3557.3
Persons,Usual daily consumption of fruit,Does not eat fruit,35–44,403.9
Persons,Usual daily consumption of fruit,Less than 1 serve,35–44,103.5
Persons,Usual daily consumption of fruit,1 serve,35–44,1585.7
Persons,Usual daily consumption of fruit,2 serves,35–44,973.9
Persons,Usual daily consumption of fruit,3 serves,35–44,357.2
Persons,Usual daily consumption of fruit,4 serves,35–44,79.0
Persons,Usual daily consumption of fruit,5 or more serves,35–44,55.9
Persons,Usual daily consumption of fruit,Total persons aged 18 years and over,35–44,3557.3
Persons,Usual daily consumption of vegetables,Does not eat vegetables,35–44,39.8
Persons,Usual daily consumption of vegetables,Less than 1 serve,35–44,52.9
Persons,Usual daily consumption of vegetables,1 serve,35–44,1061.4
Persons,Usual daily consumption of vegetables,2 serves,35–44,1084.0
Persons,Usual daily consumption of vegetables,3 serves,35–44,699.4
Persons,Usual daily consumption of vegetables,4 serves,35–44,352.1
Persons,Usual daily consumption of vegetables,5 serves,35–44,183.2
Persons,Usual daily consumption of vegetables,6 or more serves,35–44,75.3
Persons,Usual daily consumption of vegetables,Total persons aged 18 years and over,35–44,3557.3
Persons,Usual daily consumption of vegetables,Average number of serves of fruit,35–44,1.5
Persons,Usual daily consumption of vegetables,Average number of serves of vegetables,35–44,2.3
Persons,Usual daily consumption of vegetables,"Total persons, 18 years and over",35–44,3557.3
Males,Daily consumption of fruit,Met recommendation,35–44,708.1
Males,Daily consumption of fruit,Did not meet recommendation,35–44,1034.8
Males,Daily consumption of fruit,Total males aged 18 years and over,35–44,1749.0
Males,Daily consumption of vegetables,Met recommendation,35–44,20.7
Males,Daily consumption of vegetables,Did not meet recommendation,35–44,1731.5
Males,Daily consumption of vegetables,Total males aged 18 years and over,35–44,1749.0
Males,Daily consumption of fruit and vegetables,Met recommendation,35–44,12.7
Males,Daily consumption of fruit and vegetables,Did not meet recommendation,35–44,1736.6
Males,Daily consumption of fruit and vegetables,Total males aged 18 years and over,35–44,1749.0
Males,Usual daily consumption of fruit,Does not eat fruit,35–44,222.2
Males,Usual daily consumption of fruit,Less than 1 serve,35–44,68.5
Males,Usual daily consumption of fruit,1 serve,35–44,744.1
Males,Usual daily consumption of fruit,2 serves,35–44,479.5
Males,Usual daily consumption of fruit,3 serves,35–44,180.8
Males,Usual daily consumption of fruit,4 serves,35–44,38.7
Males,Usual daily consumption of fruit,5 or more serves,35–44,12.6
Males,Usual daily consumption of fruit,Total males aged 18 years and over,35–44,1749.0
Males,Usual daily consumption of vegetables,Does not eat vegetables,35–44,32.7
Males,Usual daily consumption of vegetables,Less than 1 serve,35–44,34.2
Males,Usual daily consumption of vegetables,1 serve,35–44,562.8
Males,Usual daily consumption of vegetables,2 serves,35–44,537.8
Males,Usual daily consumption of vegetables,3 serves,35–44,337.1
Males,Usual daily consumption of vegetables,4 serves,35–44,159.2
Males,Usual daily consumption of vegetables,5 serves,35–44,65.7
Males,Usual daily consumption of vegetables,6 or more serves,35–44,20.7
Males,Usual daily consumption of vegetables,Total males aged 18 years and over,35–44,1749.0
Males,Usual daily consumption of vegetables,Average number of serves of fruit,35–44,1.4
Males,Usual daily consumption of vegetables,Average number of serves of vegetables,35–44,2.2
Males,Usual daily consumption of vegetables,"Total males, 18 years and over",35–44,1749.0
Females,Daily consumption of fruit,Met recommendation,35–44,748.8
Females,Daily consumption of fruit,Did not meet recommendation,35–44,1060.5
Females,Daily consumption of fruit,Total females aged 18 years and over,35–44,1805.1
Females,Daily consumption of vegetables,Met recommendation,35–44,163.2
Females,Daily consumption of vegetables,Did not meet recommendation,35–44,1635.1
Females,Daily consumption of vegetables,Total females aged 18 years and over,35–44,1805.1
Females,Daily consumption of fruit and vegetables,Met recommendation,35–44,96.2
Females,Daily consumption of fruit and vegetables,Did not meet recommendation,35–44,1709.4
Females,Daily consumption of fruit and vegetables,Total females aged 18 years and over,35–44,1805.1
Females,Usual daily consumption of fruit,Does not eat fruit,35–44,187.3
Females,Usual daily consumption of fruit,Less than 1 serve,35–44,36.2
Females,Usual daily consumption of fruit,1 serve,35–44,837.2
Females,Usual daily consumption of fruit,2 serves,35–44,491.8
Females,Usual daily consumption of fruit,3 serves,35–44,168.5
Females,Usual daily consumption of fruit,4 serves,35–44,47.1
Females,Usual daily consumption of fruit,5 or more serves,35–44,37.7
Females,Usual daily consumption of fruit,Total females aged 18 years and over,35–44,1805.1
Females,Usual daily consumption of vegetables,Does not eat vegetables,35–44,13.4
Females,Usual daily consumption of vegetables,Less than 1 serve,35–44,21.6
Females,Usual daily consumption of vegetables,1 serve,35–44,505.3
Females,Usual daily consumption of vegetables,2 serves,35–44,544.3
Females,Usual daily consumption of vegetables,3 serves,35–44,367.9
Females,Usual daily consumption of vegetables,4 serves,35–44,184.1
Females,Usual daily consumption of vegetables,5 serves,35–44,118.8
Females,Usual daily consumption of vegetables,6 or more serves,35–44,50.9
Females,Usual daily consumption of vegetables,Total females aged 18 years and over,35–44,1805.1
Females,Usual daily consumption of vegetables,Average number of serves of fruit,35–44,1.5
Females,Usual daily consumption of vegetables,Average number of serves of vegetables,35–44,2.4
Females,Usual daily consumption of vegetables,"Total females, 18 years and over",35–44,1805.1
Persons,Daily consumption of fruit,Met recommendation,45–54,1362.8
Persons,Daily consumption of fruit,Did not meet recommendation,45–54,1855.8
Persons,Daily consumption of fruit,Total persons aged 18 years and over,45–54,3226.7
Persons,Daily consumption of vegetables,Met recommendation,45–54,198.7
Persons,Daily consumption of vegetables,Did not meet recommendation,45–54,3024.1
Persons,Daily consumption of vegetables,Total persons aged 18 years and over,45–54,3226.7
Persons,Daily consumption of fruit and vegetables,Met recommendation,45–54,125.4
Persons,Daily consumption of fruit and vegetables,Did not meet recommendation,45–54,3092.4
Persons,Daily consumption of fruit and vegetables,Total persons aged 18 years and over,45–54,3226.7
Persons,Usual daily consumption of fruit,Does not eat fruit,45–54,412.7
Persons,Usual daily consumption of fruit,Less than 1 serve,45–54,132.7
Persons,Usual daily consumption of fruit,1 serve,45–54,1313.6
Persons,Usual daily consumption of fruit,2 serves,45–54,915.5
Persons,Usual daily consumption of fruit,3 serves,45–54,329.5
Persons,Usual daily consumption of fruit,4 serves,45–54,74.8
Persons,Usual daily consumption of fruit,5 or more serves,45–54,53.0
Persons,Usual daily consumption of fruit,Total persons aged 18 years and over,45–54,3226.7
Persons,Usual daily consumption of vegetables,Does not eat vegetables,45–54,28.8
Persons,Usual daily consumption of vegetables,Less than 1 serve,45–54,41.3
Persons,Usual daily consumption of vegetables,1 serve,45–54,964.7
Persons,Usual daily consumption of vegetables,2 serves,45–54,1027.0
Persons,Usual daily consumption of vegetables,3 serves,45–54,605.9
Persons,Usual daily consumption of vegetables,4 serves,45–54,288.3
Persons,Usual daily consumption of vegetables,5 serves,45–54,162.2
Persons,Usual daily consumption of vegetables,6 or more serves,45–54,86.8
Persons,Usual daily consumption of vegetables,Total persons aged 18 years and over,45–54,3226.7
Persons,Usual daily consumption of vegetables,Average number of serves of fruit,45–54,1.5
Persons,Usual daily consumption of vegetables,Average number of serves of vegetables,45–54,2.3
Persons,Usual daily consumption of vegetables,"Total persons, 18 years and over",45–54,3226.7
Males,Daily consumption of fruit,Met recommendation,45–54,646.5
Males,Daily consumption of fruit,Did not meet recommendation,45–54,936.4
Males,Daily consumption of fruit,Total males aged 18 years and over,45–54,1585.9
Males,Daily consumption of vegetables,Met recommendation,45–54,35.7
Males,Daily consumption of vegetables,Did not meet recommendation,45–54,1542.0
Males,Daily consumption of vegetables,Total males aged 18 years and over,45–54,1585.9
Males,Daily consumption of fruit and vegetables,Met recommendation,45–54,23.2
Males,Daily consumption of fruit and vegetables,Did not meet recommendation,45–54,1559.4
Males,Daily consumption of fruit and vegetables,Total males aged 18 years and over,45–54,1585.9
Males,Usual daily consumption of fruit,Does not eat fruit,45–54,236.7
Males,Usual daily consumption of fruit,Less than 1 serve,45–54,61.6
Males,Usual daily consumption of fruit,1 serve,45–54,641.2
Males,Usual daily consumption of fruit,2 serves,45–54,380.3
Males,Usual daily consumption of fruit,3 serves,45–54,168.7
Males,Usual daily consumption of fruit,4 serves,45–54,58.2
Males,Usual daily consumption of fruit,5 or more serves,45–54,40.1
Males,Usual daily consumption of fruit,Total males aged 18 years and over,45–54,1585.9
Males,Usual daily consumption of vegetables,Does not eat vegetables,45–54,21.0
Males,Usual daily consumption of vegetables,Less than 1 serve,45–54,30.5
Males,Usual daily consumption of vegetables,1 serve,45–54,546.2
Males,Usual daily consumption of vegetables,2 serves,45–54,521.6
Males,Usual daily consumption of vegetables,3 serves,45–54,250.8
Males,Usual daily consumption of vegetables,4 serves,45–54,137.6
Males,Usual daily consumption of vegetables,5 serves,45–54,49.7
